Spotify ID;Artist IDs;Track Name;Album Name;Artist Name;Release Date;Duration (ms);Popularity;Date;Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
0WdJsLIXKpbdGXQDEUjVbD;798ceFTnKCNT00aTswubPI;savaş / end;savaş / end;Dante;2022-03-27;137346;7;2022;;644;762;9;-7.983;0;43;245;0;146;407;140.066;4
6sghbExwQySHgaMjuYNa0X;0V2oXYR7DtrZAEFeILRW2r;YAPAMAM;C5MODE;Lvbel C5;2022-03-18;123826;62;2022;turkce drill,turkish hip hop,turkish trap;697;585;2;-11.443;0;178;62;0.0000266;147;148;102.054;4
4qcngMZ8yF98sAnFKlvXPN;0V2oXYR7DtrZAEFeILRW2r;GELMEZSEN GELME;C5MODE;Lvbel C5;2022-03-18;93015;69;2022;turkce drill,turkish hip hop,turkish trap;0.76;555;11;-12.659;0;0.0599;185;0.000255;0.0916;269;120.003;4
47zsnWIPoPSjJhZoKp5h21;51DevdOxIJin6DB1FXJpD1,1pMFoni6A1enu9OBmaanG2;PARA;PARA;UZI,Montiego;2022-05-06;176708;63;2022;turkish trap,persian hip hop;761;0.49;10;-13.306;0;335;719;0.00932;108;267;120.03;4
3HEv9gY3n9Fj2H5E2IoOKF;6CPZWzcKiOKkHn4L2XI4i2;Riv Riv Riv;Riv Riv Riv;cakal;2021-08-27;121999;61;2022;turkce drill;738;822;10;-4.906;0;0.0839;21;0.00000345;381;614;134.114;4
0Dlcu2fgHklOnajVu2dUNU;4WZGDpNwrC0vNQyl9QzF7d,6h1s4i4XKIYv4ErDelLDN0;Tilidin;Berlin lebt 2;Capital Bra,Samra;2019-10-03;172035;61;2022;german hip hop;631;673;6;-4.892;0;384;407;0;154;721;83.504;4
6TXoad1VT4r7fJ9QlPKx4E;1MeqFJRoXLAjOdqXlJaPwQ;VVS;VVS;Ero;2022-02-11;161584;58;2022;new school turkce rap,turkce drill;742;489;0;-13.982;0;141;0.14;843;113;327;101.027;4
4wLpDd099QT7TmNpMkFIvT;51DevdOxIJin6DB1FXJpD1;ZOR;EL CHAVO;UZI;2022-09-09;171641;71;2022;turkish trap;685;661;4;-9.014;0;208;838;0.00000123;626;0.0643;103.964;4
2FRX5tqHnjJKIAAmgRbsvJ;6CPZWzcKiOKkHn4L2XI4i2;Mingoflalar;Mingoflalar;cakal;2022-07-01;120600;65;2022;turkce drill;622;809;3;-5.782;0;105;246;0;319;606;100.114;4
4a0SQDAwphKijSWUXMUEWA;15AZJFNrXtIN4Nk8BIOnS2,0V2oXYR7DtrZAEFeILRW2r;Paranoya;Paranoya;Batuflex,Lvbel C5;2022-02-18;149383;54;2022;turkish hip hop,turkish trap,turkce drill;645;576;3;-11.467;0;0.0472;0.0151;0.0781;0.0968;688;142.105;3
6xqYhqQIa29qgkuwGtk1KJ;5W2dGRPmYetOpUIpErUtD3;Gözler Yalan Söylemez;Gözler Yalan Söylemez;Organize;2022-02-25;133226;64;2022;turkce drill,turkish hip hop;748;553;2;-9.672;0;145;0.0697;0.00703;175;158;105.026;4
72jYQj3RgTR1DFLfibD71B;51DevdOxIJin6DB1FXJpD1;ARASAN DA;ARASAN DA;UZI;2022-03-18;191709;64;2022;turkish trap;742;832;10;-6.812;1;156;425;242;108;441;105.978;4
2nyXqbL2oaTMBaOwSrOg82;13gqXJa3Mpcd3yHtcqXE3P,798ceFTnKCNT00aTswubPI,1b37T5A3Sm85ueNhe6g9Mx;Şans;İstanbul;Batdora,Dante,Odin;2022-07-05;201250;0;2022;;528;0.62;9;-8.219;1;288;413;0;0.2;224;95.481;4
3gnFk5AE2krbHApC7YrS2Q;0V2oXYR7DtrZAEFeILRW2r;Zor;Zor;Lvbel C5;2020-06-05;124557;58;2022;turkce drill,turkish hip hop,turkish trap;731;683;10;-5.111;0;0.11;205;0.0000121;647;176;130.019;4
0UPZYZghuk0ShJKrEiZ5jv;3AFt30387waHIjjDL63XeI,63bviSUQDcZQDVQXgcGSF0,6PZLfojwXRBjUE5YMpGIPS;London View (Remix);London View (Remix);OTP,Marin,Rambizz;2021-10-07;231665;63;2022;melodic drill,albanian hip hop;764;603;1;-9.434;0;354;361;0;122;0.6;143.091;4
